DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2003-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8340.1,,,,1
2003-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8348.6,,,,1
2004-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8358.3,,,,1
2004-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8368.7,,,,1
2004-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8379.3,,,,1
2004-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8390.1,,,,1
2004-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8401.5,,,,1
2004-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8415.6,,,,1
2004-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8425.9,,,,1
2004-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8437.3,,,,1
2004-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8446.6,,,,1
2004-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8455.4,,,,1
2004-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8463.2,,,,1
2004-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8470.9,,,,1
2005-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8480,,,,1
2005-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8490.4,,,,1
2005-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8500.7,,,,1
2005-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8511.3,,,,1
2005-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8525.5,,,,1
2005-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8538,,,,1
2005-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8549.4,,,,1
2005-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8561.3,,,,1
2005-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8570,,,,1
2005-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8578,,,,1
2005-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8585.9,,,,1
2005-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8593.1,,,,1
2006-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8602.5,,,,1
2006-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8609.5,,,,1
2006-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8617.7,,,,1
2006-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8626.9,,,,1
2006-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8638.8,,,,1
2006-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8648.2,,,,1
2006-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8656.6,,,,1
2006-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8664.8,,,,1
2006-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8670.6,,,,1
2006-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8676.9,,,,1
2006-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8683.3,,,,1
2006-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8689.1,,,,1
2007-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8694.7,,,,1
2007-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8699.3,,,,1
2007-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8704.9,,,,1
