YEAR,GEO,DGUID,Family characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,983500,,,,0
2018,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,1029080,,,,0
2007,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,23740,,,,0
2008,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,24030,,,,0
2009,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,23580,,,,0
2010,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,23230,,,,0
2011,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,24510,,,,0
2012,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,24900,,,,0
2013,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,25210,,,,0
2014,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,25660,,,,0
2015,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,26540,,,,0
2016,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,26830,,,,0
2017,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,27430,,,,0
2018,"Toronto, Ontario",2016S0503535,Median total income of persons not in census families with income,Dollars,81,units,0,v52318591,19.44,28820,,,,0
2000,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1083890,,,,0
2001,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1151720,,,,0
2002,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1179790,,,,0
2003,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1190990,,,,0
2004,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1219820,,,,0
2005,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1239450,,,,0
2006,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1258610,,,,0
2007,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1283840,,,,0
2008,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1307400,,,,0
2009,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1321970,,,,0
2010,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1335080,,,,0
2011,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1355700,,,,0
2012,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1368940,,,,0
2013,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1385260,,,,0
2014,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1404450,,,,0
2015,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1419540,,,,0
2016,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1431690,,,,0
2017,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1449060,,,,0
2018,"Toronto, Ontario",2016S0503535,Families with employment income,Number,223,units,0,v21188049,19.21,1493140,,,,0
2000,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,55100,,,,0
2001,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,56100,,,,0
2002,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,56400,,,,0
2003,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,57000,,,,0
2004,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,58600,,,,0
2005,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,60000,,,,0
2006,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,61600,,,,0
2007,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,63690,,,,0
2008,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,64920,,,,0
2009,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,62790,,,,0
2010,"Toronto, Ontario",2016S0503535,Median employment income of families,Dollars,81,units,0,v21188050,19.22,63960,,,,0
