YEAR,GEO,DGUID,Family type,Age of older adult,Family income,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2014,"Toronto, Ontario",2016S0503535,Couple families,45 to 54 years,Median total income,Dollars,81,units,0,v21260023,19.1.5.23,98300,,,,0
2015,"Toronto, Ontario",2016S0503535,Couple families,45 to 54 years,Median total income,Dollars,81,units,0,v21260023,19.1.5.23,102790,,,,0
2016,"Toronto, Ontario",2016S0503535,Couple families,45 to 54 years,Median total income,Dollars,81,units,0,v21260023,19.1.5.23,105710,,,,0
2017,"Toronto, Ontario",2016S0503535,Couple families,45 to 54 years,Median total income,Dollars,81,units,0,v21260023,19.1.5.23,111210,,,,0
2018,"Toronto, Ontario",2016S0503535,Couple families,45 to 54 years,Median total income,Dollars,81,units,0,v21260023,19.1.5.23,116280,,,,0
2000,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,201700,,,,0
2001,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,215680,,,,0
2002,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,215770,,,,0
2003,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,227410,,,,0
2004,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,230090,,,,0
2005,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,244230,,,,0
2006,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,228300,,,,0
2007,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,228330,,,,0
2008,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,230120,,,,0
2009,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,232720,,,,0
2010,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,235400,,,,0
2011,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,236680,,,,0
2012,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,238270,,,,0
2013,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,239150,,,,0
2014,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,238480,,,,0
